stop_id;stop_number;stop_name_short;stop_name;ch_x;ch_y
2490;6693;DGYR;Dietikon, Gyrhalden;671920.4378;250413.4745
2491;6694;WEST;Dietikon, Weidstrasse;671666.9403;250430.4767
2492;6695;DLAE;Dietikon, Lätten;671435.442;250583.9637
2496;6698;DWEI;Dietikon, Weinberg;671136.4477;250557.4615
2497;2850;WELI;Wangen, Weidli;690688.6278;251976.3251
2544;1041;GRUN;Zürich, Grünaustrasse;679349.3416;249909.0494
2545;893;FEIC;Zürich, Friedhof Eichbühl;678233.375;248520.5351
2546;2152;SALZ;Zürich, Salzweg;678001.8654;249058.0264
2547;427;BASL;Zürich, Baslerstrasse;679380.8368;249178.0442
2548;1341;ITDO;Itschnach, Dorf;687957.8159;242527.6283
2549;1342;ITFA;Itschnach, Fallacher;688234.3189;242666.1254
2550;1519;LAUB;Zürich, Laubegg;681443.8613;245911.0536
2551;3522;SUKK;Zürich, Sukkulentensammlung;682774.3544;245474.5641
2552;2262;SORU;Kilchberg ZH, Schooren;684270.3782;241360.1027
2553;1175;HERT;Zürich, Hertensteinstrasse;683378.2423;253032.5693
2554;515;BODE;Rüschlikon, Bodengasse;684247.3919;240541.5981
2556;516;BOGL;Küsnacht ZH, Boglerenstrasse;686451.3374;242331.1139
2557;6625;MERI;Rüschlikon, Merisbrunnen;683962.3897;239536.5961
2558;3186;RUEB;Rüschlikon, Bahnhof;684307.8855;240301.097
2559;3187;RSAU;Rüschlikon, Säumerstrasse;683751.8891;240271.5836
2561;3445;BIBE;Zürich, Bircher-Benner;685056.2829;247821.5856
2562;3449;BIRC;Zürich, Birchstrasse;682803.2571;251938.0708
2563;1528;LEHE;Zürich, Lehenstrasse;681671.3111;250049.5595
2564;3705;ALBD;Zürich, Albisriederdörfli;679024.3648;247698.0422
2565;1354;JUGI;Zürich, Jugendherberge;682318.359;244654.0747
2566;3706;AHOS;Zürich, Althoos;681922.7818;251660.5611
2567;2618;SUSE;Zürich, Susenbergstrasse;685275.2791;248133.6041
2568;1356;KALB;Zürich, Kalchbühlweg;682589.3685;243869.5766
2569;1182;HESL;Küsnacht ZH, Hesligenstrasse;687304.341;241167.6224
